51.02%,19,19
51.02%,19,19
34.69%,19,19
46.94%,18,18
57.14%,21,21
51.02%,21,21
42.86%,19,19
46.94%,16,16
46.94%,19,19
48.98%,23,23
42.86%,19,19
42.86%,21,21
48.98%,18,18
38.78%,20,20
59.18%,17,17
40.82%,20,20
38.78%,18,18
55.10%,21,21
55.10%,22,22
40.82%,22,22
57.14%,20,20
48.98%,19,19
48.98%,19,19
44.90%,18,18
42.86%,23,23
44.90%,17,17
57.14%,20,20
48.98%,20,20
53.06%,19,19
32.65%,25,25
40.82%,22,22
44.90%,23,23
42.86%,21,21
44.90%,20,20
51.02%,18,18
48.98%,19,19
42.86%,22,22
48.98%,22,22
48.98%,21,21
53.06%,19,19
40.82%,21,21
48.98%,20,20
46.94%,18,18
46.94%,22,22
53.06%,22,22
38.78%,19,19
59.18%,19,19
40.82%,20,20
44.90%,19,19
48.98%,18,18
48.98%,18,18
40.82%,21,21
38.78%,21,21
38.78%,22,22
42.86%,22,22
44.90%,18,18
51.02%,19,19
40.82%,20,20
42.86%,22,22
51.02%,19,19
44.90%,23,23
38.78%,19,19
46.94%,18,18
48.98%,19,19
34.69%,24,24
48.98%,20,20
40.82%,22,22
44.90%,20,20
36.73%,21,21
53.06%,18,18
59.18%,16,16
40.82%,24,24
48.98%,19,19
42.86%,20,20
48.98%,20,20
38.78%,22,22
48.98%,17,17
40.82%,22,22
44.90%,19,19
38.78%,21,21
44.90%,21,21
44.90%,24,24
38.78%,23,23
32.65%,20,20
46.94%,20,20
53.06%,17,17
51.02%,20,20
44.90%,22,22
46.94%,23,23
36.73%,19,19
46.94%,19,19
51.02%,20,20
44.90%,22,22
48.98%,18,18
46.94%,18,18
48.98%,21,21
48.98%,18,18
40.82%,18,18
48.98%,19,19
53.06%,17,17
55.10%,20,20
55.10%,20,20
48.98%,21,21
46.94%,19,19
51.02%,20,20
46.94%,20,20
48.98%,22,22
48.98%,22,22
44.90%,22,22
42.86%,19,19
36.73%,22,22
46.94%,20,20
36.73%,19,19
38.78%,22,22
51.02%,19,19
55.10%,17,17
40.82%,20,20
44.90%,18,18
55.10%,18,18
53.06%,18,18
42.86%,18,18
44.90%,18,18
46.94%,21,21
51.02%,19,19
51.02%,19,19
44.90%,22,22
46.94%,19,19
38.78%,20,20
46.94%,18,18
51.02%,22,22
42.86%,21,21
48.98%,19,19
51.02%,21,21
51.02%,20,20
42.86%,23,23
42.86%,22,22
38.78%,23,23
42.86%,20,20
36.73%,23,23
53.06%,18,18
48.98%,21,21
46.94%,22,22
48.98%,22,22
44.90%,20,20
48.98%,21,21
51.02%,25,25
44.90%,18,18
51.02%,19,19
63.27%,16,16
36.73%,22,22
51.02%,17,17
44.90%,20,20
53.06%,18,18
55.10%,18,18
48.98%,23,23
48.98%,21,21
44.90%,18,18
46.94%,18,18
42.86%,21,21
40.82%,21,21
51.02%,18,18
44.90%,24,24
59.18%,16,16
46.94%,21,21
40.82%,21,21
48.98%,19,19
53.06%,18,18
53.06%,21,21
44.90%,19,19
46.94%,22,22
40.82%,21,21
40.82%,21,21
53.06%,19,19
53.06%,20,20
48.98%,20,20
55.10%,18,18
51.02%,21,21
46.94%,22,22
46.94%,21,21
48.98%,22,22
46.94%,19,19
57.14%,19,19
55.10%,19,19
40.82%,20,20
46.94%,20,20
51.02%,20,20
40.82%,22,22
44.90%,23,23
38.78%,22,22
38.78%,24,24
46.94%,21,21
38.78%,23,23
42.86%,23,23
38.78%,22,22
55.10%,19,19
53.06%,20,20
40.82%,20,20
44.90%,21,21
44.90%,20,20
53.06%,19,19
40.82%,21,21
44.90%,23,23
51.02%,19,19
38.78%,22,22
34.69%,18,18
48.98%,16,16
48.98%,21,21
42.86%,19,19
46.94%,18,18
48.98%,18,18
